id,name_en,name_gd
"S17000009","Central Scotland","Meadhan na h-Alba"
"S17000017","Glasgow","Glaschu"
"S17000011","Highlands and Islands","A’ Ghàidhealtachd agus na h-Eileanan"
"S17000012","Lothian","Lodainn"
"S17000013","Mid Scotland and Fife","Alba Mheadhanach agus Fìobh"
"S17000014","North East Scotland","Ear-Thuath na h-Alba"
"S17000015","South Scotland","Alba a Deas"
"S17000018","West Scotland","Alba a Iar"
